#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.04 aq:20.77 tex:2037126 mv:80618 misc:6016 imb:3600 pmb:0 smb:0 d:- ref:;
in:34 out:34 type:B dur:2 cpbdur:2 q:37.33 aq:36.28 tex:2993 mv:3992 misc:2663 imb:153 pmb:524 smb:2923 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:37.71 aq:37.17 tex:1356 mv:927 misc:1533 imb:18 pmb:246 smb:3336 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:36.95 aq:36.48 tex:2074 mv:1002 misc:1820 imb:22 pmb:326 smb:3252 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:35.22 aq:34.57 tex:44344 mv:13163 misc:2381 imb:2106 pmb:415 smb:1079 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:35.90 aq:35.16 tex:6183 mv:5562 misc:3135 imb:246 pmb:719 smb:2635 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:36.24 aq:35.23 tex:2995 mv:1663 misc:2310 imb:54 pmb:468 smb:3078 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:35.56 aq:34.96 tex:3646 mv:1614 misc:2452 imb:66 pmb:509 smb:3025 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:34.07 aq:32.70 tex:86678 mv:18831 misc:1083 imb:3036 pmb:380 smb:184 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:34.65 aq:33.95 tex:11334 mv:7899 misc:3487 imb:367 pmb:967 smb:2266 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:34.94 aq:34.10 tex:4941 mv:2210 misc:2801 imb:77 pmb:676 smb:2847 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:34.36 aq:33.90 tex:6898 mv:2631 misc:2919 imb:104 pmb:709 smb:2787 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:33.14 aq:32.09 tex:125041 mv:20423 misc:1352 imb:2855 pmb:456 smb:289 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:33.61 aq:33.06 tex:28816 mv:10846 misc:3618 imb:614 pmb:1004 smb:1982 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:33.84 aq:33.13 tex:7318 mv:3654 misc:3060 imb:176 pmb:733 smb:2691 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:33.38 aq:32.74 tex:18920 mv:5581 misc:3395 imb:285 pmb:965 smb:2350 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:32.43 aq:31.63 tex:201834 mv:21028 misc:1282 imb:2812 pmb:537 smb:251 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:32.79 aq:31.77 tex:66117 mv:17133 misc:3342 imb:1036 pmb:1352 smb:1212 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:32.97 aq:32.77 tex:37281 mv:5810 misc:3469 imb:286 pmb:1080 smb:2234 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:32.61 aq:32.10 tex:46112 mv:10171 misc:3477 imb:588 pmb:1111 smb:1901 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:32.02 aq:31.32 tex:303435 mv:22612 misc:769 imb:2991 pmb:516 smb:93 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:32.22 aq:31.47 tex:102271 mv:23382 misc:2883 imb:1702 pmb:995 smb:903 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:32.33 aq:31.76 tex:30879 mv:11345 misc:3632 imb:686 pmb:1121 smb:1793 d:- ref:0 ;
